logid,caribbean_country,country_of_ownership
1,Antigua and Barbuda,Independent
2,Barbados,Independent
3,Colombia,Independent
4,Cuba,Independent
5,Dominica,Independent
6,Dominican Republic,Independent
7,Guadeloupe,France
8,Martinique,France
9,Saint Barthélemy,France
10,Saint Martin (France),France
11,Grenada,Independent
12,Haiti,Independent
13,Honduras,Independent
14,Jamaica,Independent
15,Aruba,Netherlands
16,Curaçao,Netherlands
17,Caribbean Netherlands,Netherlands
18,Sint Maarten,Netherlands
19,Nicaragua,Independent
20,Saint Kitts and Nevis,Independent
21,Saint Lucia,Independent
22,Saint Vincent and the Grenadines,Independent
23,Trinidad and Tobago,Independent
24,Anguilla,United Kingdom
25,British Virgin Islands,United Kingdom
26,Cayman Islands,United Kingdom
27,Montserrat,United Kingdom
28,Puerto Rico,United States
29,United States Virgin Islands,United States
30,The Bahamas,Lucayan Archipelago
31,Turks and Caicos Islands,Lucayan Archipelago
